runtime E0 E1
0.659 8.03075 8.03075
0.66 7.97265 7.97265
0.661 7.91475 7.91475
0.662 7.85706 7.85706
0.663 7.79957 7.79957
0.664 7.74228 7.74228
0.665 7.6852 7.6852
0.666 7.62834 7.62834
0.667 7.57169 7.57169
0.668 7.51526 7.51526
0.669 7.45904 7.45904
0.67 7.40305 7.40305
0.671 7.34729 7.34729
0.672 7.29174 7.29174
0.673 7.23643 7.23643
0.674 7.18135 7.18135
0.675 7.12649 7.12649
0.676 7.07187 7.07187
0.677 7.01749 7.01749
0.678 6.96334 6.96334
0.679 6.90943 6.90943
0.68 6.85576 6.85576
0.681 6.80232 6.80232
0.682 6.74914 6.74914
0.683 6.69619 6.69619
0.684 6.64349 6.64349
0.685 6.59103 6.59103
0.686 6.53882 6.53882
0.687 6.48686 6.48686
0.688 6.43515 6.43515
0.689 6.38368 6.38368
0.69 6.33247 6.33247
0.691 6.2815 6.2815
0.692 6.23079 6.23079
0.693 6.18033 6.18033
0.694 6.13012 6.13012
0.695 6.08017 6.08017
0.696 6.03047 6.03047
0.697 5.98102 5.98102
0.698 5.93183 5.93183
0.699 5.8829 5.8829
0.7 5.83421 5.83421
0.701 5.78579 5.78579
0.702 5.73762 5.73762
0.703 5.68971 5.68971
0.704 5.64205 5.64205
0.705 5.59465 5.59465
0.706 5.54751 5.54751
0.707 5.50063 5.50063
0.708 5.454 5.454
0.709 5.40763 5.40763
0.71 5.36151 5.36151
0.711 5.31566 5.31566
0.712 5.27005 5.27005
0.713 5.22471 5.22471
0.714 5.17962 5.17962
0.715 5.13479 5.13479
0.716 5.09022 5.09022
0.717 5.0459 5.0459
0.718 5.00184 5.00184
0.719 4.95803 4.95803
0.72 4.91448 4.91448
0.721 4.87119 4.87119
0.722 4.82815 4.82815
0.723 4.78536 4.78536
0.724 4.74283 4.74283
0.725 4.70055 4.70055
0.726 4.65853 4.65853
0.727 4.61676 4.61676
0.728 4.57524 4.57524
0.729 4.53398 4.53398
0.73 4.49297 4.49297
0.731 4.4522 4.4522
0.732 4.41169 4.41169
0.733 4.37143 4.37143
0.734 4.33142 4.33142
0.735 4.29166 4.29166
0.736 4.25215 4.25215
0.737 4.21289 4.21289
0.738 4.17388 4.17388
0.739 4.13511 4.13511
0.74 4.09659 4.09659
0.741 4.05832 4.05832
0.742 4.02029 4.02029
0.743 3.98251 3.98251
0.744 3.94497 3.94497
0.745 3.90768 3.90768
0.746 3.87063 3.87063
0.747 3.83382 3.83382
0.748 3.79725 3.79725
0.749 3.76093 3.76093
0.75 3.72485 3.72485
0.751 3.689 3.689
0.752 3.6534 3.6534
0.753 3.61804 3.61804
0.754 3.58291 3.58291
0.755 3.54802 3.54802
0.756 3.51337 3.51337
0.757 3.47896 3.47896
0.758 3.44478 3.44478
0.759 3.41083 3.41083
0.76 3.37713 3.37713
0.761 3.34365 3.34365
0.762 3.31041 3.31041
0.763 3.27739 3.27739
0.764 3.24462 3.24462
0.765 3.21207 3.21207
0.766 3.17975 3.17975
0.767 3.14766 3.14766
0.768 3.1158 3.1158
0.769 3.08417 3.08417
0.77 3.05276 3.05276
0.771 3.02158 3.02158
0.772 2.99063 2.99063
0.773 2.9599 2.9599
0.774 2.9294 2.9294
0.775 2.89912 2.89912
0.776 2.86906 2.86906
0.777 2.83923 2.83923
0.778 2.80962 2.80962
0.779 2.78023 2.78023
0.78 2.75106 2.75106
0.781 2.7221 2.7221
0.782 2.69337 2.69337
0.783 2.66486 2.66486
0.784 2.63656 2.63656
0.785 2.60848 2.60848
0.786 2.58062 2.58062
0.787 2.55297 2.55297
0.788 2.52553 2.52553
0.789 2.49831 2.49831
0.79 2.47131 2.47131
0.791 2.44451 2.44451
0.792 2.41793 2.41793
0.793 2.39156 2.39156
0.794 2.3654 2.3654
0.795 2.33945 2.33945
0.796 2.3137 2.3137
0.797 2.28817 2.28817
0.798 2.26285 2.26285
0.799 2.23773 2.23773
0.8 2.21282 2.21282
0.801 2.18811 2.18811
0.802 2.16361 2.16361
0.803 2.13931 2.13931
0.804 2.11522 2.11522
0.805 2.09133 2.09133
0.806 2.06764 2.06764
0.807 2.04416 2.04416
0.808 2.02087 2.02087
0.809 1.99779 1.99779
0.81 1.97491 1.97491
0.811 1.95222 1.95222
0.812 1.92974 1.92974
0.813 1.90745 1.90745
0.814 1.88536 1.88536
0.815 1.86347 1.86347
0.816 1.84177 1.84177
0.817 1.82027 1.82027
0.818 1.79896 1.79896
0.819 1.77785 1.77785
0.82 1.75693 1.75693
0.821 1.73621 1.73621
0.822 1.71567 1.71567
0.823 1.69533 1.69533
0.824 1.67518 1.67518
0.825 1.65523 1.65523
0.826 1.63546 1.63546
0.827 1.61588 1.61588
0.828 1.59649 1.59649
0.829 1.57729 1.57729
0.83 1.55828 1.55828
0.831 1.53945 1.53945
0.832 1.52082 1.52082
0.833 1.50236 1.50236
0.834 1.4841 1.4841
0.835 1.46602 1.46602
0.836 1.44812 1.44812
0.837 1.43041 1.43041
0.838 1.41288 1.41288
0.839 1.39554 1.39554
0.84 1.37838 1.37838
0.841 1.3614 1.3614
0.842 1.3446 1.3446
0.843 1.32798 1.32798
0.844 1.31155 1.31155
0.845 1.29529 1.29529
0.846 1.27922 1.27922
0.847 1.26332 1.26332
0.848 1.2476 1.2476
0.849 1.23206 1.23206
0.85 1.2167 1.2167
0.851 1.20152 1.20152
0.852 1.18651 1.18651
0.853 1.17168 1.17168
0.854 1.15703 1.15703
0.855 1.14255 1.14255
0.856 1.12824 1.12824
0.857 1.11412 1.11412
0.858 1.10016 1.10016
0.859 1.08638 1.08638
0.86 1.07277 1.07277
0.861 1.05934 1.05934
0.862 1.04608 1.04608
0.863 1.03299 1.03299
0.864 1.02007 1.02007
0.865 1.00732 1.00732
0.866 0.99475 0.99475
0.867 0.982346 0.982346
