runtime x0 y0 x1 y1
0.343 8.856652 11.133619 11.143348 8.866381
0.344 8.857917 11.132933 11.142083 8.867067
0.345 8.859176 11.132254 11.140824 8.867746
0.346 8.860428 11.131581 11.139572 8.868419
0.347 8.861674 11.130915 11.138326 8.869085
0.348 8.862913 11.130255 11.137087 8.869745
0.349 8.864144 11.129603 11.135856 8.870397
0.35 8.865369 11.128958 11.134631 8.871042
0.351 8.866586 11.128320 11.133414 8.871680
0.352 8.867795 11.127690 11.132205 8.872310
0.353 8.868996 11.127068 11.131004 8.872932
0.354 8.870189 11.126454 11.129811 8.873546
0.355 8.871374 11.125848 11.128626 8.874152
0.356 8.872551 11.125250 11.127449 8.874750
0.357 8.873719 11.124662 11.126281 8.875338
0.358 8.874878 11.124081 11.125122 8.875919
0.359 8.876029 11.123510 11.123971 8.876490
0.36 8.877170 11.122948 11.122830 8.877052
0.361 8.878301 11.122395 11.121699 8.877605
0.362 8.879424 11.121852 11.120576 8.878148
0.363 8.880536 11.121319 11.119464 8.878681
0.364 8.881638 11.120796 11.118362 8.879204
0.365 8.882730 11.120283 11.117270 8.879717
0.366 8.883812 11.119780 11.116188 8.880220
0.367 8.884884 11.119288 11.115116 8.880712
0.368 8.885944 11.118806 11.114056 8.881194
0.369 8.886994 11.118336 11.113006 8.881664
0.37 8.888032 11.117876 11.111968 8.882124
0.371 8.889059 11.117429 11.110941 8.882571
0.372 8.890075 11.116992 11.109925 8.883008
0.373 8.891079 11.116568 11.108921 8.883432
0.374 8.892071 11.116155 11.107929 8.883845
0.375 8.893051 11.115755 11.106949 8.884245
0.376 8.894018 11.115367 11.105982 8.884633
0.377 8.894974 11.114992 11.105026 8.885008
0.378 8.895916 11.114629 11.104084 8.885371
0.379 8.896846 11.114279 11.103154 8.885721
0.38 8.897763 11.113943 11.102237 8.886057
0.381 8.898666 11.113619 11.101334 8.886381
0.382 8.899556 11.113310 11.100444 8.886690
0.383 8.900433 11.113014 11.099567 8.886986
0.384 8.901295 11.112731 11.098705 8.887269
0.385 8.902144 11.112463 11.097856 8.887537
0.386 8.902979 11.112210 11.097021 8.887790
0.387 8.903800 11.111970 11.096200 8.888030
0.388 8.904606 11.111745 11.095394 8.888255
0.389 8.905398 11.111535 11.094602 8.888465
0.39 8.906175 11.111340 11.093825 8.888660
0.391 8.906937 11.111160 11.093063 8.888840
0.392 8.907684 11.110995 11.092316 8.889005
0.393 8.908416 11.110846 11.091584 8.889154
0.394 8.909133 11.110712 11.090867 8.889288
0.395 8.909834 11.110594 11.090166 8.889406
0.396 8.910520 11.110492 11.089480 8.889508
0.397 8.911190 11.110405 11.088810 8.889595
0.398 8.911844 11.110335 11.088156 8.889665
0.399 8.912482 11.110281 11.087518 8.889719
0.4 8.913105 11.110243 11.086895 8.889757
0.401 8.913711 11.110222 11.086289 8.889778
0.402 8.914300 11.110218 11.085700 8.889782
0.403 8.914874 11.110230 11.085126 8.889770
0.404 8.915431 11.110259 11.084569 8.889741
0.405 8.915971 11.110305 11.084029 8.889695
0.406 8.916495 11.110368 11.083505 8.889632
0.407 8.917002 11.110448 11.082998 8.889552
0.408 8.917493 11.110546 11.082507 8.889454
0.409 8.917966 11.110660 11.082034 8.889340
0.41 8.918423 11.110792 11.081577 8.889208
0.411 8.918862 11.110941 11.081138 8.889059
0.412 8.919285 11.111108 11.080715 8.888892
0.413 8.919690 11.111293 11.080310 8.888707
0.414 8.920079 11.111495 11.079921 8.888505
0.415 8.920450 11.111714 11.079550 8.888286
0.416 8.920804 11.111951 11.079196 8.888049
0.417 8.921141 11.112206 11.078859 8.887794
0.418 8.921461 11.112479 11.078539 8.887521
0.419 8.921764 11.112769 11.078236 8.887231
0.42 8.922049 11.113078 11.077951 8.886922
0.421 8.922317 11.113403 11.077683 8.886597
0.422 8.922568 11.113747 11.077432 8.886253
0.423 8.922802 11.114108 11.077198 8.885892
0.424 8.923018 11.114488 11.076982 8.885512
0.425 8.923218 11.114884 11.076782 8.885116
0.426 8.923400 11.115299 11.076600 8.884701
0.427 8.923566 11.115731 11.076434 8.884269
0.428 8.923714 11.116181 11.076286 8.883819
0.429 8.923846 11.116648 11.076154 8.883352
0.43 8.923960 11.117133 11.076040 8.882867
0.431 8.924058 11.117635 11.075942 8.882365
0.432 8.924139 11.118155 11.075861 8.881845
0.433 8.924203 11.118692 11.075797 8.881308
0.434 8.924251 11.119246 11.075749 8.880754
0.435 8.924282 11.119817 11.075718 8.880183
0.436 8.924297 11.120406 11.075703 8.879594
